Configuration,grade1,grade2,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll=0 ', '', '57', '4', 'scatter']",0.32464,275.52442,13.52442,89.44736,78.76785,8.25691,184.0,78.0,22.4941
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '19', '2', 'scatter']",0.12392,223.00705,5.00705,27.63432,50.52076,8.25683,143.0,75.0,35.07016
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '19', '3', 'scatter']",0.23032,225.10201,6.10201,51.84538,63.02357,8.25684,150.0,69.0,28.1129
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '19', '4', 'scatter']",0.27679,227.67672,8.67672,63.01904,54.39381,8.25685,150.0,69.0,32.57315
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '38', '2', 'scatter']",0.21051,252.03322,5.03322,53.05427,96.96932,8.25684,174.0,73.0,18.27154
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '38', '3', 'scatter']",0.25771,254.43519,7.43519,65.57089,79.46803,8.25686,173.0,74.0,22.2956
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '38', '4', 'scatter']",0.32992,256.60041,11.60041,84.65752,74.53669,8.25688,171.0,74.0,23.77078
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '57', '2', 'scatter']",0.25318,278.47398,5.47398,70.5048,128.42741,8.25686,196.0,77.0,13.6746
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '57', '3', 'scatter']",0.23578,270.63059,9.63059,63.80969,76.88826,8.25689,183.0,78.0,22.90785
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=2 ', '-unroll ', '', '57', '4', 'scatter']",0.32487,275.57977,13.57977,89.52749,78.80465,8.25691,184.0,78.0,22.4836
